UIID,a,b,se,rating
DR_T1V_21_0011_2#6608,1.0,0.0,0.0,B1+
DR_T1V_21_0011_3#6609,1.0,0.0,0.0,B1+
DR_T1V_21_0011_4#6610,1.0,0.0,0.0,B1+
DR_T2S_21_0016_1#6599,1.0,0.0,0.0,B1+
DR_T2S_21_0016_2#6600,1.0,0.0,0.0,B1+
DR_T2S_21_0016_3#6601,1.0,0.0,0.0,B1+
DR_T2S_21_0016_4#6602,1.0,0.0,0.0,B1+
DR_T2S_21_0016_5#6603,1.0,0.0,0.0,B1+
DR_T2S_21_0016_6#6604,1.0,0.0,0.0,B1+
DR_T2S_21_0016_7#6605,1.0,0.0,0.0,B1+
DR_T2S_21_0017_1#6356,1.0,0.0,0.0,B1+
DR_T2S_21_0017_2#6357,1.0,0.0,0.0,B1+
DR_T2S_21_0017_3#6358,1.0,0.0,0.0,B1+
DR_T2S_21_0017_4#6359,1.0,0.0,0.0,B1+
DR_T2S_21_0017_5#6360,1.0,0.0,0.0,B1+
DR_T2S_21_0017_6#6361,1.0,0.0,0.0,B1+
DR_T2S_21_0017_7#6362,1.0,0.0,0.0,B1+
DR_T3M_21_0012_01#6364,1.0,0.0,0.0,B1+
DR_T3M_21_0012_02#6365,1.0,0.0,0.0,B1+
DR_T3M_21_0012_03#6366,1.0,0.0,0.0,B1+
DR_T3M_21_0012_04#6367,1.0,0.0,0.0,B1+
DR_T3M_21_0012_05#6368,1.0,0.0,0.0,B1+
DR_T3M_21_0012_06#6369,1.0,0.0,0.0,B1+
DR_T3M_21_0012_07#6370,1.0,0.0,0.0,B1+
DR_T3M_21_0012_08#6371,1.0,0.0,0.0,B1+
DR_T3M_21_0012_09#6372,1.0,0.0,0.0,B1+
DR_T3M_21_0012_10#6373,1.0,0.0,0.0,B1+
DR_T3M_21_0013_01#6375,1.0,0.0,0.0,B1+
DR_T3M_21_0013_02#6376,1.0,0.0,0.0,B1+
DR_T3M_21_0013_03#6377,1.0,0.0,0.0,B1+
DR_T3M_21_0013_04#6378,1.0,0.0,0.0,B1+
DR_T3M_21_0013_05#6379,1.0,0.0,0.0,B1+
DR_T3M_21_0013_06#6380,1.0,0.0,0.0,B1+
DR_T3M_21_0013_07#6381,1.0,0.0,0.0,B1+
DR_T3M_21_0013_08#6382,1.0,0.0,0.0,B1+
DR_T3M_21_0013_09#6383,1.0,0.0,0.0,B1+
DR_T3M_21_0013_10#6384,1.0,0.0,0.0,B1+
A2VG_5746_SA01,1.0,0.0,0.0,A2
A2VG_5816_SA02,1.0,-0.013,0.0,A2
B1VG_5770_SA03,1.0,0.351,0.0,B1
B1VG_8643_SA04,1.0,0.465,0.0,B1
B1VG_3918_SA05,1.0,-0.153,0.0,B1
B1VG_3919_SA06,1.0,0.045,0.0,B1
B2VG_5843_SA07,1.0,0.688,0.0,B2
C1VG_4378_SA08,1.0,1.136,0.0,C1
C2VG_8173_SA09,1.0,2.149,0.0,C2
C2VG_18944_SA10,1.0,2.043,0.0,C2
B2R_4464_WA_01,1.0,0.426,0.0,B2
B2R_4161_WA_02,1.0,0.498,0.0,B2
C1R_4135_WA_03,1.0,1.447,0.0,C1
C1R_4421_WA_04,1.0,1.163,0.0,C1
C1R_4136_WA_05,1.0,1.19,0.0,C1
